customers,marketing_spend,online_orders,avg_order_value,day_of_week,weather,revenue
130,1924.0,76,670.38,Thu,Cloudy,29787.83
236,2581.0,60,156.08,Thu,Cloudy,40485.8
162,8714.0,106,726.37,Fri,,48112.53
51,4324.0,101,483.31,Sun,Cloudy,19829.05
179,6713.0,17,672.11,Sat,Cloudy,34046.66
269,8026.0,171,416.62,Thu,Rainy,59227.05
103,1255.0,44,550.5,Tue,Cloudy,21163.72
392,5804.0,105,468.48,Fri,Cloudy,59488.65
273,2838.0,97,612.11,Thu,Cloudy,45642.25
274,1009.0,87,157.14,Sun,Sunny,37716.23
434,3871.0,41,142.25,Sat,Rainy,63643.64
452,9989.0,129,272.97,Fri,Rainy,75350.96
175,8409.0,55,211.68,Wed,Rainy,37230.69
179,8418.0,153,710.25,Sat,Sunny,48625.05
102,6124.0,174,253.45,Tue,Sunny,26671.75
221,2015.0,191,783.11,Thu,Rainy,52914.16
267,3193.0,151,335.83,Sun,Sunny,53094.12
209,9415.0,64,227.48,Wed,Rainy,42146.72
247,8449.0,185,652.79,Sun,Sunny,57689.33
465,5158.0,16,561.1,Wed,Cloudy,65307.63
296,4925.0,83,448.74,Fri,Cloudy,51400.19
373,7970.0,16,488.75,Wed,Rainy,55166.04
488,7938.0,170,603.44,Tue,Sunny,82341.86
252,5784.0,160,259.92,Tue,Sunny,38564.67
233,5000.0,94,797.43,Mon,Cloudy,40458.66
172,2633.0,156,782.36,Tue,Cloudy,41326.56
450,8266.0,121,555.23,Sat,Sunny,72249.05
304,9702.0,134,239.68,Wed,Sunny,55070.74
343,1384.0,156,576.16,Tue,Sunny,58035.76
329,1404.0,45,150.54,Fri,Sunny,45262.25
374,9175.0,38,121.46,Sun,Sunny,58984.94
421,3000.0,197,280.38,Sun,Sunny,64659.36
147,6989.0,91,423.84,Mon,Rainy,33041.58
247,,11,707.79,Sun,Sunny,50049.96
444,8190.0,138,609.02,Wed,Cloudy,75882.72
289,8140.0,56,619.89,Mon,Rainy,52394.3
193,4636.0,157,397.85,Wed,Sunny,41099.11
146,5809.0,20,342.15,Fri,Cloudy,27492.63
250,5178.0,139,359.73,Mon,Rainy,42940.49
173,8245.0,128,791.35,Thu,Cloudy,40636.1
236,7600.0,149,128.08,Sat,Sunny,39954.04
375,6997.0,29,706.92,Sat,Sunny,67016.0
398,3048.0,14,505.07,Wed,Sunny,55324.92
308,5780.0,46,407.03,Sun,Sunny,49214.83
197,1716.0,175,607.68,Thu,Rainy,46381.68
301,8939.0,146,440.67,Mon,Rainy,55789.29
492,6565.0,62,711.4,Thu,,81229.81
469,5544.0,181,730.49,Thu,Sunny,73018.58
452,5976.0,108,395.2,Sun,Cloudy,69686.22
395,4419.0,95,293.78,Mon,Rainy,60486.38
196,8239.0,117,514.65,Fri,Sunny,43796.64
197,1249.0,33,738.65,Sun,Sunny,29104.36
401,9865.0,90,247.46,Thu,Rainy,70239.46
248,1770.0,167,536.08,Thu,Rainy,43293.84
357,5363.0,129,542.09,Fri,Rainy,63386.94
466,2077.0,68,613.18,Thu,Rainy,70219.12
473,9427.0,137,192.1,Thu,Rainy,79051.65
177,9580.0,123,601.08,Thu,Sunny,55007.64
88,8901.0,124,736.32,Sat,Rainy,28473.78
387,5858.0,23,225.78,Sun,Sunny,52418.53
409,7544.0,18,266.28,Tue,Sunny,60954.86
178,5719.0,49,779.98,Sun,,34558.13
316,3814.0,34,226.68,Fri,Rainy,49982.31
490,4374.0,112,698.07,Thu,Sunny,82587.11
483,2252.0,31,444.59,Sun,Rainy,70777.7
200,7996.0,13,273.06,Sat,Rainy,36325.61
464,5673.0,163,709.52,Fri,Rainy,85859.74
347,5530.0,195,411.71,Wed,Cloudy,56211.52
148,7881.0,38,460.37,Sun,Sunny,33196.69
312,,118,351.46,Wed,Cloudy,51277.09
301,7241.0,107,515.07,Thu,Rainy,59438.43
193,9017.0,46,214.47,Sat,Cloudy,26723.94
395,7941.0,84,373.76,Sat,Rainy,63418.78
161,8002.0,79,778.59,Sun,Cloudy,43026.64
109,2331.0,155,280.69,Fri,Rainy,22167.69
418,5261.0,137,559.72,Fri,Cloudy,66483.65
51,8648.0,94,327.63,Sat,Cloudy,22729.74
434,6115.0,51,641.43,Fri,Cloudy,73918.93
353,5637.0,109,191.61,Sat,Sunny,50029.4
303,5854.0,50,778.87,Sun,Cloudy,50934.0
189,4177.0,175,417.65,Tue,Sunny,46664.29
86,8730.0,43,265.24,Sat,Rainy,22067.72
209,3180.0,26,151.45,Wed,Cloudy,27308.05
58,5892.0,174,218.83,Fri,Rainy,27299.47
282,8043.0,162,463.84,Sat,Rainy,52891.02
148,1137.0,131,335.9,Sat,Cloudy,35395.21
196,7327.0,85,680.22,Sun,Sunny,40516.3
353,4472.0,96,401.62,Fri,Cloudy,55963.93
257,6449.0,126,274.1,Tue,Rainy,51135.56
180,3832.0,115,532.0,Sun,Rainy,37264.3
453,4579.0,95,594.74,Tue,Cloudy,75474.57
201,6971.0,36,216.93,Sun,Sunny,34423.01
103,5164.0,66,217.33,Fri,Sunny,32959.61
169,8941.0,40,125.67,Mon,Rainy,39161.74
210,6569.0,143,615.48,Fri,Rainy,40196.92
457,5300.0,177,564.66,Fri,Sunny,79011.12
165,7269.0,107,432.24,Tue,Cloudy,33366.78
124,4818.0,21,690.92,Tue,Rainy,31105.73
162,2906.0,62,663.97,Fri,Sunny,35166.2
469,7254.0,147,509.75,Fri,Rainy,71802.51
471,1760.0,182,707.79,Fri,Cloudy,82937.27
153,8830.0,154,244.09,Tue,Sunny,37801.86
389,8350.0,163,178.34,Fri,Rainy,62761.68
303,7238.0,199,288.82,Fri,Cloudy,54242.15
276,7090.0,131,139.96,Thu,Rainy,48140.28
161,7031.0,55,471.82,Mon,Cloudy,36811.73
148,8687.0,73,755.62,Wed,Cloudy,39069.02
202,9472.0,139,127.54,Mon,Sunny,26518.1
398,2887.0,63,185.48,Thu,Cloudy,56086.25
451,,116,416.54,Wed,Rainy,62373.49
433,1666.0,60,753.71,Sun,Cloudy,66551.19
415,5188.0,190,321.31,Fri,Cloudy,61247.23
387,1671.0,45,455.06,Thu,Sunny,49770.21
243,7777.0,124,129.1,Sun,Cloudy,49693.71
359,,35,203.84,Fri,Cloudy,53143.14
212,8956.0,38,790.64,Tue,Rainy,44381.09
257,6124.0,158,775.58,Sat,Sunny,57685.52
494,6585.0,20,103.46,Thu,Sunny,65246.95
218,5777.0,49,766.27,Tue,Sunny,55244.68
210,4900.0,20,547.38,Thu,Cloudy,36965.6
117,7677.0,173,707.54,Thu,Sunny,41270.33
338,7981.0,122,418.32,Tue,Cloudy,64174.31
447,7376.0,196,460.92,Wed,Cloudy,84265.87
326,1523.0,48,442.19,Mon,Rainy,45661.22
353,,63,566.8,Fri,Rainy,54636.58
453,3593.0,107,197.76,Thu,Rainy,71923.76
433,8240.0,64,120.98,Fri,Rainy,67617.01
441,,120,315.55,Sat,Rainy,75378.73
184,7190.0,161,593.28,Tue,Cloudy,37937.68
244,6240.0,159,241.3,Fri,Cloudy,53581.5
450,,78,571.4,Tue,Sunny,68658.36
177,3878.0,65,778.94,Fri,Cloudy,40237.96
82,5143.0,42,165.73,Mon,Cloudy,17799.24
225,4644.0,45,570.82,Mon,Rainy,37135.09
492,5432.0,157,410.63,Mon,Cloudy,70332.37
420,2276.0,90,707.7,Mon,Rainy,58617.06
424,6811.0,199,224.0,Mon,Sunny,70233.89
71,1302.0,118,584.84,Mon,Sunny,16607.6
287,1638.0,163,686.68,Tue,Cloudy,48531.52
207,1055.0,82,761.23,Thu,Sunny,40112.27
87,9717.0,49,578.27,Fri,Cloudy,16143.61
279,,26,448.02,Mon,Sunny,52715.2
414,3125.0,138,532.49,Tue,Rainy,55017.91
100,1364.0,70,708.23,Tue,Rainy,26827.79
487,7809.0,180,499.43,Tue,Rainy,81253.75
313,5621.0,113,121.27,Thu,Rainy,52216.16
332,6126.0,51,751.66,Fri,Cloudy,58357.3
76,,34,582.67,Thu,Sunny,34547.19
275,2646.0,48,573.56,Wed,Cloudy,47201.78
326,1918.0,44,250.97,Sun,Rainy,51887.01
335,3797.0,140,561.22,Tue,Cloudy,55038.59
146,7506.0,117,375.71,Wed,Sunny,35614.23
333,6870.0,181,555.86,Sat,Cloudy,70581.75
416,2531.0,188,174.62,Mon,Sunny,62775.62
497,9172.0,111,560.49,Sun,Cloudy,81896.12
366,4345.0,107,799.59,Mon,Sunny,69644.12
353,8673.0,21,133.75,Thu,Sunny,48643.5
196,7949.0,28,784.02,Sun,Rainy,32231.7
53,7882.0,110,384.84,Fri,Sunny,25216.07
84,,53,709.53,Wed,Rainy,30641.1
241,4086.0,196,647.67,Fri,Rainy,44946.62
98,,58,496.91,Thu,Rainy,32786.35
66,6750.0,198,616.91,Mon,Cloudy,35858.48
221,9905.0,26,714.96,Sun,Cloudy,35100.92
269,2062.0,83,382.9,Fri,Cloudy,39141.66
207,2976.0,66,328.92,Fri,Cloudy,33475.46
95,2296.0,64,567.32,Mon,Sunny,24048.48
422,7229.0,56,665.49,Sun,,65489.88
55,8641.0,21,633.6,Wed,Cloudy,20081.79
148,1125.0,71,658.47,Mon,Sunny,40444.46
429,5632.0,89,404.91,Fri,Sunny,65971.45
282,7288.0,92,672.48,Wed,Rainy,50882.38
86,4596.0,17,184.15,Wed,Rainy,17403.2
329,7168.0,158,481.14,Mon,Rainy,63016.95
398,8561.0,90,104.03,Fri,Rainy,60927.38
351,9258.0,127,327.21,Thu,Sunny,59755.91
230,1232.0,34,356.52,Fri,Cloudy,32383.32
144,7371.0,98,377.32,Tue,Sunny,30425.95
148,5206.0,21,586.83,Sun,Sunny,28788.21
237,8943.0,152,371.99,Sat,Sunny,50468.32
165,7891.0,68,414.09,Thu,Rainy,30753.25
240,7738.0,163,266.28,Wed,Rainy,49100.95
302,3472.0,118,361.28,Thu,Rainy,57401.77
465,3739.0,35,259.09,Sun,Cloudy,66056.09
210,6401.0,56,151.24,Wed,Sunny,33541.47
305,2761.0,41,522.41,Sun,Cloudy,42204.32
372,1876.0,19,567.75,Wed,Rainy,63497.58
177,4812.0,25,533.64,Thu,Cloudy,28494.11
67,2460.0,154,424.45,Wed,Sunny,28317.56
330,2733.0,160,365.85,Wed,Sunny,58466.74
272,2605.0,35,704.33,Tue,Rainy,45855.11
103,6622.0,95,463.36,Fri,,28043.11
107,7767.0,144,435.43,Fri,Cloudy,23606.49
372,7986.0,23,117.95,Sat,Rainy,55598.38
409,4517.0,88,338.87,Sat,Rainy,65276.28
223,4735.0,126,366.14,Tue,Sunny,36894.7
329,9434.0,16,379.18,Sat,Rainy,52735.79
163,3590.0,146,506.12,Sun,Rainy,37513.11
337,2063.0,124,473.52,Thu,Sunny,58316.06
480,5324.0,185,525.53,Mon,Sunny,79011.17
391,6342.0,81,635.42,Sun,Cloudy,57443.3
200,1005.0,68,669.09,Mon,Rainy,35590.66
499,8489.0,91,602.69,Mon,Sunny,81384.68
176,,125,768.87,Tue,Cloudy,50837.89
204,9195.0,176,112.76,Sun,Cloudy,39239.22
435,6966.0,155,237.04,Tue,Rainy,80016.65
322,9837.0,196,105.29,Wed,Rainy,48416.58
153,1117.0,112,553.23,Mon,Cloudy,30333.55
466,3551.0,26,728.62,Thu,Sunny,70574.93
442,6560.0,23,270.44,Sat,Cloudy,62490.85
348,5289.0,168,748.92,Thu,Rainy,59464.29
295,1846.0,161,142.19,Sat,Sunny,49298.96
225,7316.0,117,754.11,Mon,Sunny,51869.92
88,7469.0,197,346.14,Mon,,31817.11
219,9915.0,54,170.99,Mon,Rainy,41136.07
296,1224.0,107,440.11,Tue,Cloudy,46331.97
75,5208.0,140,279.74,Sun,Cloudy,16275.69
404,7283.0,46,299.41,Sat,Cloudy,57514.35
355,3048.0,180,315.1,Sun,,59550.17
458,7233.0,177,662.12,Tue,Sunny,80341.92
457,2828.0,192,477.41,Tue,Rainy,74070.45
62,2917.0,117,317.92,Fri,Rainy,23135.94
365,5234.0,48,527.23,Thu,Cloudy,55389.92
440,7988.0,24,601.31,Thu,Cloudy,69543.46
362,3026.0,129,290.84,Wed,Cloudy,59533.86
85,4744.0,13,389.48,Tue,Rainy,20062.95
222,1009.0,102,185.32,Sat,Sunny,29110.38
69,1260.0,162,226.8,Fri,Sunny,15982.56
370,7038.0,150,576.78,Fri,Cloudy,70336.36
313,3219.0,170,227.01,Sun,Cloudy,59002.71
449,8041.0,25,467.61,Thu,Cloudy,74453.37
191,3060.0,179,596.33,Tue,Cloudy,44423.73
420,6287.0,117,174.81,Wed,Rainy,57886.09
192,2619.0,135,497.12,Tue,Sunny,39310.24
141,9512.0,64,279.59,Sun,Cloudy,39734.73
403,2342.0,179,774.05,Mon,Rainy,73886.79
371,3832.0,43,438.48,Tue,Cloudy,55275.41
337,3824.0,167,664.19,Sun,Cloudy,64955.18
264,2994.0,22,485.16,Mon,Sunny,36105.62
496,4490.0,150,130.39,Mon,Cloudy,69089.49
391,8984.0,27,543.21,Wed,Sunny,58184.39
100,2604.0,169,765.98,Sat,Sunny,36370.76
202,1235.0,105,521.13,Thu,Sunny,41865.47
235,,132,673.43,Tue,Rainy,46458.72
112,,48,718.94,Mon,Rainy,29913.05
239,4530.0,55,259.66,Tue,Sunny,38850.15
174,6256.0,38,248.43,Sat,Cloudy,29078.35
199,3635.0,199,527.69,Thu,Sunny,40672.5
363,,71,387.72,Sat,Cloudy,61950.37
107,3560.0,194,687.9,Thu,Sunny,31916.54
391,6415.0,25,730.02,Fri,,56420.55
354,4391.0,193,347.39,Thu,Rainy,54133.08
229,6951.0,130,265.81,Wed,Cloudy,35511.65
112,,48,718.94,Mon,Rainy,29913.05
282,7288.0,92,672.48,Wed,Rainy,50882.38
179,6713.0,17,672.11,Sat,Cloudy,34046.66
416,9867.0,116,672.58,Tue,Cloudy,81358.92
437,2365.0,97,431.25,Sun,Sunny,67697.04
225,7316.0,117,754.11,Mon,Sunny,51869.92
366,4345.0,107,799.59,Mon,Sunny,69644.12
293,2679.0,24,587.21,Wed,Cloudy,50577.77
286,5312.0,72,643.62,Wed,,50048.96
71,,32,525.42,Thu,Rainy,25596.65
